case_id,province,city,group,infection_case,confirmed,latitude,longitude
1000001,Seoul,Yongsan-gu,TRUE,Itaewon Clubs,72,37.538621,126.992652
1000002,Seoul,Guro-gu,TRUE,Guro-gu Call Center,98,37.508163,126.884387
1000003,Seoul,Dongdaemun-gu,TRUE,Dongan Church,20,37.592888,127.056766
1000004,Seoul,Guro-gu,TRUE,Manmin Central Church,41,37.481059,126.894343
1000005,Seoul,Eunpyeong-gu,TRUE,Eunpyeong St. Mary's Hospital,14,37.63369,126.9165
1000006,Seoul,Seongdong-gu,TRUE,Seongdong-gu APT,13,37.55713,127.0403
1000007,Seoul,Jongno-gu,TRUE,Jongno Community Center,10,37.57681,127.006
1000008,Seoul,Jung-gu,TRUE,Jung-gu Fashion Company,7,37.562405,126.984377
1000009,Seoul,from other city,TRUE,Shincheonji Church,8,-,-
1000010,Seoul,-,FALSE,overseas inflow,321,-,-
1000011,Seoul,-,FALSE,contact with patient,18,-,-
1000012,Seoul,-,FALSE,etc,24,-,-
1100001,Busan,Dongnae-gu,TRUE,Onchun Church,39,35.21628,129.0771
1100002,Busan,from other city,TRUE,Shincheonji Church,12,-,-
1100003,Busan,Suyeong-gu,TRUE,Suyeong-gu Kindergarten,5,35.16708,129.1124
1100004,Busan,Haeundae-gu,TRUE,Haeundae-gu Catholic Church,6,35.20599,129.1256
1100005,Busan,Jin-gu,TRUE,Jin-gu Academy,4,35.17371,129.0633
1100006,Busan,from other city,TRUE,Cheongdo Daenam Hospital,1,-,-
1100007,Busan,-,FALSE,overseas inflow,25,-,-
1100008,Busan,-,FALSE,contact with patient,18,-,-
1100009,Busan,-,FALSE,etc,29,-,-
1200001,Daegu,Nam-gu,TRUE,Shincheonji Church,4510,35.84008,128.5667
1200002,Daegu,Dalseong-gun,TRUE,Second Mi-Ju Hospital,196,35.857375,128.466651
1200003,Daegu,Seo-gu,TRUE,Hansarang Convalescent Hospital,128,35.885592,128.556649
1200004,Daegu,Dalseong-gun,TRUE,Daesil Convalescent Hospital,100,35.857393,128.466653
1200005,Daegu,Dong-gu,TRUE,Fatima Hospital,37,35.88395,128.624059
1200006,Daegu,from other city,TRUE,Cheongdo Daenam Hospital,2,-,-
1200007,Daegu,-,FALSE,overseas inflow,24,-,-
1200008,Daegu,-,FALSE,contact with patient,929,-,-
1200009,Daegu,-,FALSE,etc,724,-,-
1300001,Gwangju,from other city,TRUE,Shincheonji Church,9,-,-
1300002,Gwangju,-,FALSE,overseas inflow,20,-,-
1300003,Gwangju,-,FALSE,contact with patient,1,-,-
1300004,Gwangju,-,FALSE,etc,0,-,-
1400001,Incheon,from other city,TRUE,Guro-gu Call Center,20,-,-
1400002,Incheon,from other city,TRUE,Shincheonji Church,2,-,-
1400003,Incheon,-,FALSE,overseas inflow,48,-,-
1400004,Incheon,-,FALSE,contact with patient,5,-,-
1400005,Incheon,-,FALSE,etc,4,-,-
1500001,Daejeon,Seo-gu,TRUE,Korea Forest Engineer Institute,3,36.358123,127.388856
1500002,Daejeon,from other city,TRUE,Shincheonji Church,2,-,-
1500003,Daejeon,from other city,TRUE,Seosan-si Laboratory,2,-,-
1500004,Daejeon,-,FALSE,overseas inflow,10,-,-
1500005,Daejeon,-,FALSE,contact with patient,8,-,-
1500006,Daejeon,-,FALSE,etc,9,-,-
1600001,Ulsan,from other city,TRUE,Shincheonji Church,16,-,-
1600002,Ulsan,-,FALSE,overseas inflow,15,-,-
1600003,Ulsan,-,FALSE,contact with patient,4,-,-
1600004,Ulsan,-,FALSE,etc,7,-,-
1700001,Sejong,Sejong,TRUE,Ministry of Oceans and Fisheries,30,36.504713,127.265172
1700002,Sejong,Sejong,TRUE,gym facility in Sejong,8,36.48025,127.289
1700003,Sejong,from other city,TRUE,Shincheonji Church,1,-,-
1700004,Sejong,-,FALSE,overseas inflow,3,-,-
1700005,Sejong,-,FALSE,contact with patient,3,-,-
1700006,Sejong,-,FALSE,etc,1,-,-
